id,name,type
fcb,FC Bayern Muenchen,Verein
fcbj,FC Bayern Jugend,Verein
scfj,SC Freiburg Jugend,Verein
rblj,Red Bull Leipzig Jugend,Verein
sgej,Eintracht Frankfurt Jugend,Verein
fcuj,Union Berlin Jugend,Verein
bvbj,Borussia Dortmund Jugend,Verein
wobj,VfL Wofsburg Jugend,Verein
bmgj,Moenchengladbach Jugend,Verein
svwj,SV Werder Bremen Jugend,Verein
fsvj,FSV Mainz 05 Jugend,Verein
tsgj,TSG 1899 Hoffenheim Jugend,Verein
levj,Bayer 04 Leverkusen Jugend,Verein
koej,1. FC Koeln Jugend,Verein
fcaj,FC Augsburg Jugend,Verein
bscj,Hertha BSC Berlin Jugend,Verein
vfbj,VfB Stuttgart Jugend,Verein
bocj,VfL Bochum Jugend,Verein
gelj,FC Schalke 04 Jugend,Verein
han,Hannover 96,Verein
shb,Shonan Bellmare,Verein
hsv,Hamburger SV,Verein
smy,Apollon Smyrnis,Verein
psg,Paris St Germain,Verein
asm,AS Monaco,Verein
stl,Stade Laval,Verein
spo,Sporting Lissabon,Verein
pfc,Paris FC,Verein
stk,SV Stuttgarter Kickers,Verein
iwa,Jubilo Iwata,Verein
rwo,Rot Weiß Oberhausen,Verein
zag,Dinamo Zagreb,Verein
cco,Central Coast,Verein
kop,FC Kopenhagen,Verein
fen,Fenerbahce Istanbul,Verein
prt,FC Porto,Verein
vafc,Valenciennes FC,Verein
aja,Ajax Amsterdam,Verein
lil,LOSC Lille,Verein
ars,Arsenal London,Verein
foot,Generation Foot,Verein
vanw,Vancouver Whitecaps,Verein
atm,Atletico Madrid,Verein
met,FC Metz,Verein
ren,Stade Rennes,Verein
bar,FC Barcelona,Verein
nyfc,New York City FC,Verein
aux,AJ Auxerre,Verein
gcz,Grashoppers Zuerich,Verein
len,RC Lens,Verein
rwa,Rot Weiss Ahlen,Verein
caen,SM Caen,Verein
mu60,1860 Muenchen,Verein
niz,OGC Nizza,Verein
bir,Birmingham City,Verein
rev,RE Virton,Verein
uha,SpVgg Unterhaching,Verein
vfra,VfR Aalen,Verein
mtk,MTK Budapest,Verein
stra,Racing Strassbourg,Verein
fck,1. FC Kaiserslautern,Verein
bama,JMG Academy Bamako,Verein
lyn,Lyngby BK,Verein
sun,GIF Sundsvall,Verein
hoed,IL Hoedd,Verein
rbs,Red Bull Salzburg,Verein
fur,Spvgg Greuther Fuerth,Verein
tps,Turun Palloseura,Verein
ind,Independiente del Valle,Verein
asec,ASEC Mimosas,Verein
sep,Sepaphan FC,Verein
manu,Manchester United,Verein
rivp,River Plate,Verein
fcno,FC Nordsjelland,Verein
manc,Manchester City,Verein
ebs,Eintracht Braunschweig,Verein
tor,Torpedo Moskau,Verein
leix,Leixoes SC,Verein
spra,Sparta Prag,Verein
cfc,Chelsea London FC,Verein
brue,FC Bruegge,Verein
cob,Cobreloa,Verein
tou,FC Toulouse,Verein
hee,SC Heerenveen,Verein
bro,Broendby IF,Verein
saop,Sao Paulo FC,Verein
heid,FC Heidenheim,Verein
off,Kickers Offenbach,Verein
cal,Deportivo Cali,Verein
fhs,Fujieda Highschool,Verein
cac,CA Colon,Verein
ben,Benfica Lissabon,Verein
rij,HNK Rijeka,Verein
spli,RNK Split,Verein
fcz,FC Zuerich,Verein
nan,FC Nantes,Verein
hhs,Higashiyama Highschool,Verein
ol,Olympique Lyon,Verein
pac,Paradou AC,Verein
bas,FC Basel,Verein
kaw,Kawasaki Frontale,Verein
soc,FC Sochaux,Verein
ksc,Karlsruher SC,Verein
wad,Wadi Degla,Verein
awie,Austria Wien,Verein
dcu,D.C. United,Verein
lech,Lech Posen,Verein
asse,AS Saint Etienne,Verein
maff,Malmoe FF,Verein
krc,KRC Genk,Verein
and,RSC Anderlecht,Verein
vol,FC Volendam,Verein
atpr,Athletico Paranese,Verein
twl,TWL Elektra,Verein
svka,SV Kapfenberg,Verein
gamb,Gamba Osaka,Verein
pus,Puskas AFC,Verein
aaa,Alemannia Aachen,Verein
burg,SV Wacker Burghausen,Verein
rma,Real Madrid,Verein
blum,Blumenthaler SV,Verein
have,TSV Havelse,Verein
bonn,Bonner SC,Verein
czj,FC Carl Zeiss Jena,Verein
stp,FC St Pauli,Verein
silk,Silkeborg IF,Verein
gala,Galatasaray Istanbul,Verein
for,Fortuna Duesseldorf,Verein
macc,Maccabi Tel Aviv,Verein
fcsi,FC Sion,Verein
stab,Stabaek IF,Verein
aar,FC Aarau,Verein
graa,De Graafschap Doetinchem,Verein
espb,Espanyol Barcelo,Verein
osna,VfL Osnabrueck,Verein
kun,Korea University,Verein
cib,Cibalia,Verein
kral,Hradec Kralove,Verein
luz,FC Luzern,Verein
inte,Internacional Porto Alegre,Verein
twen,Twente Enschede,Verein
ols,Tempo 25 Olsztyn,Verein
whu,West Ham United,Verein
eber,TSV Ebersberg,Verein
